hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
emu3,emu3/modeling_emu3.py,Emu3Attention;Emu3DecoderLayer;Emu3VQVAEVectorQuantizer;Emu3VQVAEEncoderConvDownsample;Emu3VQVAEEncoderConvUpsample;Emu3VQVAEConv3d;Emu3VQVAESpatialNorm;Emu3VQVAETemporalUpsample;Emu3VQVAETemporalDownsample;Emu3VQVAETemporalResnetBlock;Emu3VQVAEResnetBlock;Emu3VQVAEAttentionBlock;Emu3VQVAEGroupNorm;Emu3VQVAEMiddleBlock;Emu3VQVAEDownBlock;Emu3VQVAEUpBlock;Emu3VQVAEEncoder;Emu3VQVAEDecoder;Emu3ImageVocabularyMapping;Emu3TextModel;Emu3ForCausalLM;Emu3Model;Emu3ForConditionalGeneration,multimodal,hybrid,composable,Emu3Attention->tasks/baseline/L2/attention.py;Emu3DecoderLayer->tasks/baseline/L3/llama_decoder.py;Emu3VQVAEVectorQuantizer->composes;Emu3VQVAEEncoderConvDownsample->composes;Emu3VQVAEEncoderConvUpsample->composes;Emu3VQVAEConv3d->tasks/baseline/L1/conv3d.py;Emu3VQVAESpatialNorm->composes;Emu3VQVAETemporalUpsample->composes;Emu3VQVAETemporalDownsample->composes;Emu3VQVAETemporalResnetBlock->composes;Emu3VQVAEResnetBlock->composes;Emu3VQVAEAttentionBlock->composes;Emu3VQVAEGroupNorm->tasks/baseline/L1/group_norm.py;Emu3VQVAEMiddleBlock->composes;Emu3VQVAEDownBlock->composes;Emu3VQVAEUpBlock->composes;Emu3VQVAEEncoder->composes;Emu3VQVAEDecoder->composes;Emu3ImageVocabularyMapping->composes;Emu3TextModel->composes;Emu3ForCausalLM->composes;Emu3Model->composes;Emu3ForConditionalGeneration->composes,,emu3/modular_emu3.py:56;emu3/modular_emu3.py:61;emu3/modular_emu3.py:97;emu3/modular_emu3.py:131;emu3/modular_emu3.py:135;emu3/modular_emu3.py:146;emu3/modular_emu3.py:175;emu3/modular_emu3.py:211;emu3/modular_emu3.py:234;emu3/modular_emu3.py:253;emu3/modular_emu3.py:302;emu3/modular_emu3.py:365;emu3/modular_emu3.py:373;emu3/modular_emu3.py:387;emu3/modular_emu3.py:421;emu3/modular_emu3.py:480;emu3/modular_emu3.py:538;emu3/modular_emu3.py:608;emu3/modular_emu3.py:815;emu3/modular_emu3.py:881;emu3/modular_emu3.py:891;emu3/modular_emu3.py:920;emu3/modular_emu3.py:1075,"Emu3 text decoder is Llama-style (composable). The Emu3VQVAE image tokenizer uses nn.BatchNorm3d (lines 452, 459) for temporal blocks; kb-nano L1 only covers BatchNorm2d — [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['batch_norm_3d'] [v5 inheritance] Emu3VQVAEModelOutput(BaseModelOutputWithPooling), Emu3Attention(LlamaAttention), Emu3DecoderLayer(LlamaDecoderLayer), Emu3VQVAEEncoderConvDownsample(ChameleonVQVAEEncoderConvDownsample), Emu3VQVAEAttentionBlock(SiglipAttention)"
encodec,encodec/modeling_encodec.py,EncodecConv1d;EncodecConvTranspose1d;EncodecLSTM;EncodecResnetBlock;EncodecEncoder;EncodecDecoder;EncodecEuclideanCodebook;EncodecVectorQuantization;EncodecResidualVectorQuantizer;EncodecModel,audio,encoder-decoder,composable,EncodecConv1d->tasks/baseline/L1/conv1d.py;EncodecConvTranspose1d->composes;EncodecLSTM->composes;EncodecResnetBlock->composes;EncodecEncoder->composes;EncodecDecoder->composes;EncodecEuclideanCodebook->composes;EncodecVectorQuantization->composes;EncodecResidualVectorQuantizer->composes;EncodecModel->composes,,encodec/modeling_encodec.py:82;encodec/modeling_encodec.py:179;encodec/modeling_encodec.py:236;encodec/modeling_encodec.py:252;encodec/modeling_encodec.py:285;encodec/modeling_encodec.py:316;encodec/modeling_encodec.py:350;encodec/modeling_encodec.py:386;encodec/modeling_encodec.py:406;encodec/modeling_encodec.py:496,"EnCodec audio codec uses nn.ConvTranspose1d (line 192 inside EncodecConvTranspose1d) and nn.LSTM (covered by tasks/baseline/L1/lstm.py:LSTM). [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['conv_transpose1d', 'lstm'] [v5 inheritance] EncodecPreTrainedModel(PreTrainedAudioTokenizerBase)"
encoder_decoder,encoder_decoder/modeling_encoder_decoder.py,,text,encoder-decoder,composable,,,encoder_decoder/modeling_encoder_decoder.py:65;encoder_decoder/modeling_encoder_decoder.py:170;encoder_decoder/modeling_encoder_decoder.py:46,Generic wrapper that delegates to two AutoModel instances (encoder + decoder). Coverage depends on the wrapped sub-models; the wrapper itself only adds a projection linear and shift_tokens_right. No new primitives.
eomt,eomt/modeling_eomt.py,EomtLoss;EomtPatchEmbeddings;EomtEmbeddings;EomtAttention;EomtLayerScale;EomtLayer;EomtLayerNorm2d;EomtScaleLayer;EomtScaleBlock;EomtMaskHead;EomtForUniversalSegmentation,segmentation,vision-encoder,composable,EomtLoss->composes;EomtPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;EomtEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;EomtAttention->tasks/baseline/L2/siglip_attention.py;EomtLayerScale->composes;EomtLayer->composes;EomtLayerNorm2d->composes;EomtScaleLayer->composes;EomtScaleBlock->composes;EomtMaskHead->composes;EomtForUniversalSegmentation->composes,,eomt/modular_eomt.py:178;eomt/modular_eomt.py:182;eomt/modular_eomt.py:186;eomt/modular_eomt.py:222;eomt/modular_eomt.py:226;eomt/modular_eomt.py:230;eomt/modular_eomt.py:254;eomt/modular_eomt.py:265;eomt/modular_eomt.py:290;eomt/modular_eomt.py:302;eomt/modular_eomt.py:375,"EomtScaleLayer uses nn.ConvTranspose2d (line 927) for scale upsampling in inference grid_sample appears at line 119 but only inside loss/matcher (training-only). Encoder + mask head otherwise composable. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['conv_transpose2d'] [v5 inheritance] EomtConfig(ViTConfig), EomtLoss(Mask2FormerLoss), EomtPatchEmbeddings(Dinov2PatchEmbeddings), EomtEmbeddings(Dinov2Embeddings), EomtAttention(SiglipAttention)"
eomt_dinov3,eomt_dinov3/modeling_eomt_dinov3.py,EomtDinov3Attention;EomtDinov3Embeddings;EomtDinov3Layer;EomtDinov3LayerScale;EomtDinov3RotaryEmbedding;EomtDinov3Loss;EomtDinov3ForUniversalSegmentation,segmentation,vision-encoder,composable,EomtDinov3Attention->tasks/baseline/L2/attention.py;EomtDinov3Embeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;EomtDinov3Layer->composes;EomtDinov3LayerScale->composes;EomtDinov3RotaryEmbedding->tasks/baseline/L1/rotary_emb.py;EomtDinov3Loss->composes;EomtDinov3ForUniversalSegmentation->composes,,eomt_dinov3/modular_eomt_dinov3.py:133;eomt_dinov3/modular_eomt_dinov3.py:137;eomt_dinov3/modular_eomt_dinov3.py:143;eomt_dinov3/modular_eomt_dinov3.py:147;eomt_dinov3/modular_eomt_dinov3.py:151;eomt_dinov3/modular_eomt_dinov3.py:196;eomt_dinov3/modular_eomt_dinov3.py:235,"DINOv3-backed eomt variant. EomtDinov3ScaleLayer uses nn.ConvTranspose2d (line 1121) in inference grid_sample at line 501 is in matcher (training-only). [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['conv_transpose2d'] [v5 inheritance] EomtDinov3Config(EomtConfig), EomtDinov3Attention(DINOv3ViTAttention), EomtDinov3Embeddings(DINOv3ViTEmbeddings), EomtDinov3Layer(DINOv3ViTLayer), EomtDinov3LayerScale(DINOv3ViTLayerScale)"
ernie,ernie/modeling_ernie.py,ErnieEmbeddings;ErnieSelfAttention;ErnieCrossAttention;ErnieLayer;ErniePooler;ErnieLMPredictionHead;ErnieEncoder;ErnieModel;ErnieForPreTraining;ErnieForCausalLM;ErnieForMaskedLM;ErnieForNextSentencePrediction;ErnieForSequenceClassification;ErnieForMultipleChoice;ErnieForTokenClassification;ErnieForQuestionAnswering,text,encoder,composable,ErnieEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ErnieSelfAttention->tasks/baseline/L2/encoder_attention.py;ErnieCrossAttention->tasks/baseline/L2/encoder_attention.py;ErnieLayer->composes;ErniePooler->composes;ErnieLMPredictionHead->composes;ErnieEncoder->composes;ErnieModel->composes;ErnieForPreTraining->composes;ErnieForCausalLM->composes;ErnieForMaskedLM->composes;ErnieForNextSentencePrediction->composes;ErnieForSequenceClassification->composes;ErnieForMultipleChoice->composes;ErnieForTokenClassification->composes;ErnieForQuestionAnswering->composes,,ernie/modular_ernie.py:62;ernie/modular_ernie.py:126;ernie/modular_ernie.py:130;ernie/modular_ernie.py:134;ernie/modular_ernie.py:138;ernie/modular_ernie.py:142;ernie/modular_ernie.py:146;ernie/modular_ernie.py:176;ernie/modular_ernie.py:274;ernie/modular_ernie.py:357;ernie/modular_ernie.py:424;ernie/modular_ernie.py:485;ernie/modular_ernie.py:559;ernie/modular_ernie.py:631;ernie/modular_ernie.py:722;ernie/modular_ernie.py:774,"BERT-derivative with task-type embeddings. ALL_ATTENTION_FUNCTIONS dispatcher; standard primitives. [v5 inheritance] ErnieEmbeddings(BertEmbeddings), ErnieSelfAttention(BertSelfAttention), ErnieCrossAttention(BertCrossAttention), ErnieLayer(BertLayer), ErniePooler(BertPooler)"
ernie4_5,ernie4_5/modeling_ernie4_5.py,Ernie4_5RotaryEmbedding;Ernie4_5MLP;Ernie4_5Attention;Ernie4_5ForCausalLM,text,decoder-only,composable,Ernie4_5RotaryEmbedding->tasks/baseline/L1/rotary_emb.py;Ernie4_5MLP->tasks/baseline/L2/llama_mlp.py;Ernie4_5Attention->tasks/baseline/L2/encoder_attention.py;Ernie4_5ForCausalLM->composes,,ernie4_5/modular_ernie4_5.py:32;ernie4_5/modular_ernie4_5.py:84;ernie4_5/modular_ernie4_5.py:93;ernie4_5/modular_ernie4_5.py:105,"Llama-style decoder; standard RMSNorm + RoPE + GQA + SwiGLU. modular_ernie4_5.py exists. [v5 inheritance] Ernie4_5RotaryEmbedding(OlmoRotaryEmbedding), Ernie4_5MLP(LlamaMLP), Ernie4_5Attention(LlamaAttention), Ernie4_5ForCausalLM(LlamaForCausalLM)"
ernie4_5_moe,ernie4_5_moe/modeling_ernie4_5_moe.py,Ernie4_5_MoeRMSNorm;Ernie4_5_MoeMLP;Ernie4_5_MoeRotaryEmbedding;Ernie4_5_MoeAttention;Ernie4_5_MoeStatics;Ernie4_5_MoeExperts;Ernie4_5_MoeTopKRouter;Ernie4_5_MoeSparseMoeBlock;Ernie4_5_MoeDecoderLayer;Ernie4_5_MoeModel;Ernie4_5_MoeForCausalLM,text,decoder-only,composable,Ernie4_5_MoeRMSNorm->tasks/baseline/L1/rms_norm.py;Ernie4_5_MoeMLP->tasks/baseline/L2/llama_mlp.py;Ernie4_5_MoeRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;Ernie4_5_MoeAttention->tasks/baseline/L2/attention.py;Ernie4_5_MoeStatics->composes;Ernie4_5_MoeExperts->tasks/baseline/L1/moe_grouped_gemm.py;Ernie4_5_MoeTopKRouter->tasks/baseline/L1/sigmoid_topk.py+tasks/baseline/L1/linear.py;Ernie4_5_MoeSparseMoeBlock->tasks/baseline/L2/shared_expert_moe.py;Ernie4_5_MoeDecoderLayer->tasks/baseline/L3/qwen3_moe_decoder.py;Ernie4_5_MoeModel->composes;Ernie4_5_MoeForCausalLM->composes,,ernie4_5_moe/modular_ernie4_5_moe.py:43;ernie4_5_moe/modular_ernie4_5_moe.py:47;ernie4_5_moe/modular_ernie4_5_moe.py:56;ernie4_5_moe/modular_ernie4_5_moe.py:61;ernie4_5_moe/modular_ernie4_5_moe.py:73;ernie4_5_moe/modular_ernie4_5_moe.py:100;ernie4_5_moe/modular_ernie4_5_moe.py:107;ernie4_5_moe/modular_ernie4_5_moe.py:134;ernie4_5_moe/modular_ernie4_5_moe.py:164;ernie4_5_moe/modular_ernie4_5_moe.py:208;ernie4_5_moe/modular_ernie4_5_moe.py:285,"MoE variant with topk routing + one_hot expert assignment (one_hot is L1 tasks/baseline/L1/tensor_ops.py:OneHot). modular_ernie4_5_moe.py exists. [v5 inheritance] Ernie4_5_MoeRMSNorm(LlamaRMSNorm), Ernie4_5_MoeMLP(Qwen3MoeMLP), Ernie4_5_MoeRotaryEmbedding(Ernie4_5RotaryEmbedding), Ernie4_5_MoeAttention(LlamaAttention), Ernie4_5_MoeExperts(MixtralExperts)"
ernie4_5_vl_moe,ernie4_5_vl_moe/modeling_ernie4_5_vl_moe.py,Ernie4_5_VLMoeTextRotaryEmbedding;Ernie4_5_VLMoeTextAttention;Ernie4_5_VLMoeRMSNorm;Ernie4_5_VLMoeMLP;Ernie4_5_VLMoeMoeStatics;Ernie4_5_VLMoeMoeTopKRouter;Ernie4_5_VLMoeMoeExperts;Ernie4_5_VLMoeSparseMoeBlock;Ernie4_5_VLMoeMoeBlock;Ernie4_5_VLMoeDecoderLayer;Ernie4_5_VLMoeVisionAttention;Ernie4_5_VLMoeVisionBlock;Ernie4_5_VLMoeTextModel;Ernie4_5VLVisionMLP;Ernie4_5_VLMoePatchEmbed;Ernie4_5_VLMoeVisionRotaryEmbedding;Ernie4_5_VLMoeVisionTransformerPretrainedModel;Ernie4_5_VLMoeVisionMLP;Ernie4_5_VLMoeVariableResolutionResamplerModel;Ernie4_5_VLMoeModel;Ernie4_5_VLMoeForConditionalGeneration;Ernie4_5_VLMoeImageProcessorKwargs;Ernie4_5_VLMoeImageProcessorPil;Ernie4_5_VLMoeImageProcessor;Ernie4_5_VL_MoeForConditionalGeneration;Ernie4_5_VL_MoeModel;Ernie4_5_VL_MoeTextModel;Ernie4_5_VL_MoeVisionTransformerPretrainedModel;Ernie4_5_VL_MoeVariableResolutionResamplerModel;Ernie4_5_VL_MoeImageProcessor;Ernie4_5_VL_MoeImageProcessorPil,multimodal,hybrid,composable,Ernie4_5_VLMoeTextRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;Ernie4_5_VLMoeTextAttention->tasks/baseline/L2/attention.py;Ernie4_5_VLMoeRMSNorm->tasks/baseline/L1/rms_norm.py;Ernie4_5_VLMoeMLP->tasks/baseline/L2/llama_mlp.py;Ernie4_5_VLMoeMoeStatics->composes;Ernie4_5_VLMoeMoeTopKRouter->tasks/baseline/L1/sigmoid_topk.py+tasks/baseline/L1/linear.py;Ernie4_5_VLMoeMoeExperts->tasks/baseline/L1/moe_grouped_gemm.py;Ernie4_5_VLMoeSparseMoeBlock->tasks/baseline/L2/shared_expert_moe.py;Ernie4_5_VLMoeMoeBlock->tasks/baseline/L2/shared_expert_moe.py;Ernie4_5_VLMoeDecoderLayer->composes;Ernie4_5_VLMoeVisionAttention->tasks/baseline/L2/attention.py;Ernie4_5_VLMoeVisionBlock->composes;Ernie4_5_VLMoeTextModel->composes;Ernie4_5VLVisionMLP->tasks/baseline/L2/vision_mlp.py;Ernie4_5_VLMoePatchEmbed->tasks/baseline/L2/vision_patch_embed.py;Ernie4_5_VLMoeVisionRotaryEmbedding->tasks/baseline/L1/vision_rotary_emb.py;Ernie4_5_VLMoeVisionTransformerPretrainedModel->composes;Ernie4_5_VLMoeVisionMLP->tasks/baseline/L2/llama_mlp.py;Ernie4_5_VLMoeVariableResolutionResamplerModel->composes;Ernie4_5_VLMoeModel->composes;Ernie4_5_VLMoeForConditionalGeneration->composes;Ernie4_5_VLMoeImageProcessorKwargs->composes;Ernie4_5_VLMoeImageProcessorPil->composes;Ernie4_5_VLMoeImageProcessor->composes;Ernie4_5_VL_MoeForConditionalGeneration->composes;Ernie4_5_VL_MoeModel->composes;Ernie4_5_VL_MoeTextModel->composes;Ernie4_5_VL_MoeVisionTransformerPretrainedModel->composes;Ernie4_5_VL_MoeVariableResolutionResamplerModel->composes;Ernie4_5_VL_MoeImageProcessor->composes;Ernie4_5_VL_MoeImageProcessorPil->composes,,ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:226;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:350;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:354;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:358;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:362;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:366;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:372;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:378;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:400;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:465;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:517;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:521;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:557;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:644;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:648;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:666;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:670;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:730;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:747;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:848;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1081;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1223;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1234;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1356;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1476;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1517;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1525;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1533;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1542;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1551;ernie4_5_vl_moe/modular_ernie4_5_vl_moe.py:1559,"Vision-language MoE; vision tower is ViT-style and text decoder is Llama-MoE. All primitives covered. [v5 inheritance] Ernie4_5_VLMoeVisionConfig(Qwen2VLVisionConfig), Ernie4_5_VLMoeTextConfig(Ernie4_5_MoeConfig), Ernie4_5_VLMoeConfig(PreTrainedConfig), Ernie4_5_VLMoeTextAttention(Ernie4_5_MoeAttention), Ernie4_5_VLMoeRMSNorm(Ernie4_5_MoeRMSNorm)"
esm,esm/modeling_esm.py,EsmRotaryEmbedding;EsmContactPredictionHead;EsmEmbeddings;EsmSelfAttention;EsmAttention;EsmIntermediate;EsmLayer;EsmEncoder;EsmPooler;EsmModel;EsmForMaskedLM;EsmLMHead;EsmForSequenceClassification;EsmForTokenClassification;EsmClassificationHead,other,encoder,composable,EsmRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;EsmContactPredictionHead->composes;EsmEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;EsmSelfAttention->tasks/baseline/L2/encoder_attention.py;EsmAttention->composes;EsmIntermediate->tasks/baseline/L2/encoder_mlp.py;EsmLayer->composes;EsmEncoder->composes;EsmPooler->composes;EsmModel->composes;EsmForMaskedLM->composes;EsmLMHead->composes;EsmForSequenceClassification->composes;EsmForTokenClassification->composes;EsmClassificationHead->composes,,esm/modeling_esm.py:106;esm/modeling_esm.py:174;esm/modeling_esm.py:209;esm/modeling_esm.py:334;esm/modeling_esm.py:425;esm/modeling_esm.py:455;esm/modeling_esm.py:479;esm/modeling_esm.py:537;esm/modeling_esm.py:572;esm/modeling_esm.py:627;esm/modeling_esm.py:816;esm/modeling_esm.py:889;esm/modeling_esm.py:916;esm/modeling_esm.py:989;esm/modeling_esm.py:1044,Roberta-style protein encoder with rotary embeddings; standard primitives.
esm,esm/modeling_esmfold.py,EsmFoldLinear;EsmFoldLayerNorm;EsmFoldAttention;EsmFoldTriangleAttention;EsmFoldTriangleMultiplicativeUpdate;EsmFoldSelfAttention;EsmFoldDropout;EsmFoldSequenceToPair;EsmFoldPairToSequence;EsmFoldResidueMLP;EsmFoldTriangularSelfAttentionBlock;EsmCategoricalMixture;EsmFoldRelativePosition;EsmFoldAngleResnetBlock;EsmFoldAngleResnet;EsmFoldInvariantPointAttention;EsmFoldBackboneUpdate;EsmFoldStructureModuleTransitionLayer;EsmFoldStructureModuleTransition;EsmFoldStructureModule;EsmFoldingTrunk;EsmForProteinFolding,structure,other,composable,EsmFoldLinear->tasks/baseline/L1/linear.py;EsmFoldLayerNorm->tasks/baseline/L1/layer_norm.py;EsmFoldAttention->composes;EsmFoldTriangleAttention->composes;EsmFoldTriangleMultiplicativeUpdate->composes;EsmFoldSelfAttention->tasks/baseline/L2/encoder_attention.py;EsmFoldDropout->composes;EsmFoldSequenceToPair->composes;EsmFoldPairToSequence->composes;EsmFoldResidueMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;EsmFoldTriangularSelfAttentionBlock->composes;EsmCategoricalMixture->composes;EsmFoldRelativePosition->composes;EsmFoldAngleResnetBlock->composes;EsmFoldAngleResnet->composes;EsmFoldInvariantPointAttention->composes;EsmFoldBackboneUpdate->composes;EsmFoldStructureModuleTransitionLayer->composes;EsmFoldStructureModuleTransition->composes;EsmFoldStructureModule->composes;EsmFoldingTrunk->composes;EsmForProteinFolding->composes,,esm/modeling_esmfold.py:205;esm/modeling_esmfold.py:251;esm/modeling_esmfold.py:287;esm/modeling_esmfold.py:439;esm/modeling_esmfold.py:549;esm/modeling_esmfold.py:939;esm/modeling_esmfold.py:1001;esm/modeling_esmfold.py:1023;esm/modeling_esmfold.py:1061;esm/modeling_esmfold.py:1082;esm/modeling_esmfold.py:1098;esm/modeling_esmfold.py:1202;esm/modeling_esmfold.py:1248;esm/modeling_esmfold.py:1284;esm/modeling_esmfold.py:1304;esm/modeling_esmfold.py:1369;esm/modeling_esmfold.py:1567;esm/modeling_esmfold.py:1590;esm/modeling_esmfold.py:1613;esm/modeling_esmfold.py:1636;esm/modeling_esmfold.py:1838;esm/modeling_esmfold.py:1967,"ESMFold structure module: triangle attention, IPA, structure module. All ops are linear/layer_norm/matmul/einsum-based — composable. einsum is a torch builtin (passthrough). [v5 inheritance] EsmFoldLinear(Linear)"
eurobert,eurobert/modeling_eurobert.py,EuroBertRMSNorm;EuroBertAttention;EuroBertModel;EuroBertForMaskedLM;EuroBertForSequenceClassification;EuroBertForTokenClassification,text,encoder,composable,EuroBertRMSNorm->tasks/baseline/L1/rms_norm.py;EuroBertAttention->tasks/baseline/L2/attention.py;EuroBertModel->composes;EuroBertForMaskedLM->composes;EuroBertForSequenceClassification->composes;EuroBertForTokenClassification->composes,,eurobert/modular_eurobert.py:84;eurobert/modular_eurobert.py:89;eurobert/modular_eurobert.py:99;eurobert/modular_eurobert.py:142;eurobert/modular_eurobert.py:208;eurobert/modular_eurobert.py:300,"BERT-style encoder with Llama-style RMSNorm + RoPE; modular_eurobert.py exists. Standard primitives. [v5 inheritance] EuroBertConfig(LlamaConfig), EuroBertRMSNorm(LlamaRMSNorm), EuroBertAttention(LlamaAttention), EuroBertPreTrainedModel(LlamaPreTrainedModel), EuroBertModel(LlamaModel)"
evolla,evolla/modeling_evolla.py,EvollaSaProtEmbeddings;EvollaSaProtRotaryEmbedding;EvollaSaProtSelfAttention;EvollaSaProtAttention;EvollaSaProtIntermediate;EvollaSaProtLayer;EvollaSaProtEncoder;EvollaSaProtPooler;EvollaSaProtProteinEncoder;EvollaSequenceCompressorAttention;EvollaFeedForward;EvollaSequenceCompressorResampler;EvollaProteinEncoder;EvollaSequenceAlignerCrossAttention;EvollaRMSNorm;EvollaRotaryEmbedding;EvollaMLP;EvollaAttention;EvollaDecoderLayer;EvollaModel;EvollaForProteinText2Text,multimodal,hybrid,composable,EvollaSaProtEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;EvollaSaProtRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;EvollaSaProtSelfAttention->tasks/baseline/L2/encoder_attention.py;EvollaSaProtAttention->composes;EvollaSaProtIntermediate->tasks/baseline/L2/encoder_mlp.py;EvollaSaProtLayer->composes;EvollaSaProtEncoder->composes;EvollaSaProtPooler->composes;EvollaSaProtProteinEncoder->composes;EvollaSequenceCompressorAttention->composes;EvollaFeedForward->tasks/baseline/L2/llama_mlp.py;EvollaSequenceCompressorResampler->composes;EvollaProteinEncoder->composes;EvollaSequenceAlignerCrossAttention->tasks/baseline/L2/encoder_attention.py;EvollaRMSNorm->tasks/baseline/L1/rms_norm.py;EvollaRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;EvollaMLP->tasks/baseline/L2/llama_mlp.py;EvollaAttention->composes;EvollaDecoderLayer->tasks/baseline/L3/llama_decoder.py;EvollaModel->composes;EvollaForProteinText2Text->composes,,evolla/modular_evolla.py:64;evolla/modular_evolla.py:71;evolla/modular_evolla.py:84;evolla/modular_evolla.py:92;evolla/modular_evolla.py:96;evolla/modular_evolla.py:104;evolla/modular_evolla.py:108;evolla/modular_evolla.py:112;evolla/modular_evolla.py:141;evolla/modular_evolla.py:193;evolla/modular_evolla.py:251;evolla/modular_evolla.py:265;evolla/modular_evolla.py:322;evolla/modular_evolla.py:340;evolla/modular_evolla.py:578;evolla/modular_evolla.py:582;evolla/modular_evolla.py:586;evolla/modular_evolla.py:590;evolla/modular_evolla.py:594;evolla/modular_evolla.py:680;evolla/modular_evolla.py:807,"Hybrid protein encoder (ESM-like) + LLaMA-style text decoder with cross-attention; standard primitives. [v5 inheritance] EvollaSaProtEmbeddings(EsmEmbeddings), EvollaSaProtRotaryEmbedding(EsmRotaryEmbedding), EvollaSaProtSelfAttention(EsmSelfAttention), EvollaSaProtSelfOutput(EsmSelfOutput), EvollaSaProtAttention(EsmAttention)"
exaone4,exaone4/modeling_exaone4.py,Exaone4RMSNorm;Exaone4RotaryEmbedding;Exaone4Attention;Exaone4MLP;Exaone4DecoderLayer;Exaone4Model;Exaone4ForCausalLM;Exaone4ForSequenceClassification;Exaone4ForTokenClassification;Exaone4ForQuestionAnswering,text,decoder-only,composable,Exaone4RMSNorm->tasks/baseline/L1/rms_norm.py;Exaone4RotaryEmbedding->tasks/baseline/L1/rotary_emb.py;Exaone4Attention->tasks/baseline/L2/attention.py;Exaone4MLP->tasks/baseline/L2/llama_mlp.py;Exaone4DecoderLayer->tasks/baseline/L3/llama_decoder.py;Exaone4Model->composes;Exaone4ForCausalLM->composes;Exaone4ForSequenceClassification->composes;Exaone4ForTokenClassification->composes;Exaone4ForQuestionAnswering->composes,,exaone4/modular_exaone4.py:143;exaone4/modular_exaone4.py:147;exaone4/modular_exaone4.py:151;exaone4/modular_exaone4.py:225;exaone4/modular_exaone4.py:229;exaone4/modular_exaone4.py:238;exaone4/modular_exaone4.py:315;exaone4/modular_exaone4.py:372;exaone4/modular_exaone4.py:376;exaone4/modular_exaone4.py:380,"LG Exaone 4 — Llama-style decoder; modular_exaone4.py exists. [v5 inheritance] Exaone4Config(PreTrainedConfig), Exaone4RMSNorm(LlamaRMSNorm), Exaone4RotaryEmbedding(Gemma2RotaryEmbedding), Exaone4MLP(Olmo2MLP), Exaone4DecoderLayer(Olmo2DecoderLayer)"
