folder,final_status_v11,fp_shard,fp_verdict,fp_rationale,xv1_slice,xv1_verdict,p2_slice,p2_verdict,p2_rationale,p2_hf_evidence,i_personally_read
ernie4_5,composable,4,composable,Llama-shaped decoder: LlamaAttention + LlamaMLP + custom RoPE (Olmo-style); all kernels exist (attention.py + llama_mlp.,composable,confirm_composable,,-,,,no
ernie4_5_moe,composable,4,composable,Llama-style attention + Mixtral expert pattern (top-K router + per-expert SwiGLU MLP) with extra correction-bias router ,,-,,-,,,no
ernie4_5_vl_moe,partial,4,composable,VL extension of Ernie4_5_Moe: Qwen2-VL/2.5-VL vision tower + Ernie4_5 MoE text decoder + variable-resolution resampler. ,,-,,-,,,yes
esm,composable,4,composable,BERT-shaped protein encoder with rotary position embeddings (optional). Q is pre-scaled (instead of post-scaling K@V) fo,,-,,-,,,no
esmfold,partial,,?,,,-,,-,,,yes
eurobert,composable,4,composable,EuroBert is a pure Llama-shaped encoder (LlamaAttention + LlamaMLP + LlamaRMSNorm) with bidirectional masking; all primi,composable,confirm_composable,,-,,,no
evolla,partial,5,unsupported,Multimodal protein-text LM with bespoke ESM (BERT-like) protein encoder + Perceiver-style sequence compressor + cross-at,unsupported,downgrade_to_partial,slice_2,confirm_partial,"Compute decomposes from torch primitives (matmul, softmax, gating); no kb-nano kernel for these specific cross-attention","evolla/modeling_evolla.py:632 — class EvollaSequenceCompressorAttention; evolla/modeling_evolla.py:660 — kv_input = torch.cat((x, latents), dim=-2) (Perceiver concat-kv); evolla/modeling_evolla.py:704",yes
exaone4,composable,5,composable,Llama-family decoder with Olmo2-style post-norm decoder layer and QK-RMSNorm; sliding-window + global attention. All ops,,-,,-,,,no
exaone4_5,partial,5,unsupported,EXAONE 4.5 is a Qwen2.5-VL multimodal model with vision encoder + 2D-RoPE + GQA. The vision tower components (ViT-style ,unsupported,downgrade_to_partial,slice_2,confirm_partial,"All primitives present (varlen flash attn, vision RoPE), but no GQA-vision-attention L2 wrapper class.",exaone4_5/modeling_exaone4_5.py:183 — class Exaone4_5_VisionAttention; exaone4_5/modeling_exaone4_5.py:186-198 — num_key_value_heads != num_heads (GQA in vision tower); exaone4_5/modeling_exaone4_5.py,yes
exaone_moe,composable,5,composable,Exaone4 backbone (LlamaAttention with QK-norm + sliding) + DeepSeek V3-style MoE block (TopkRouter with score-correction,,-,,-,,,no
falcon,partial,5,unsupported,Falcon supports both RoPE (new arch) and ALiBi (legacy 7B/40B) attention biases plus parallel-attention layer topology. ,partial_b,confirm_partial,slice_2,confirm_partial,ALiBi path uses pure torch ops (matmul + add + softmax + matmul); RoPE path is closer to Llama. No kb-nano flash kernel ,falcon/modeling_falcon.py:168 — def build_alibi_tensor; falcon/modeling_falcon.py:216 — class FalconAttention; falcon/modeling_falcon.py:410 — attention_logits = attention_scores + alibi.view(batch_si,yes
falcon_h1,composable,5,composable,Llama-style attention (with key_multiplier scaling) interleaved with Mamba2 mixer (FalconH1Mixer = Mamba2Mixer with opti,,-,,-,,,no
falcon_mamba,composable,5,kb_nano_l4,Falcon-Mamba is vanilla Mamba v1 with extra RMSNorm applied to B/C/dt; the underlying mixer/cache pattern matches kb-nan,composable,confirm_composable,,-,,,yes
fast_vlm,unsupported,5,unsupported,Llava-style multimodal wrapper over a Qwen2 LM + FastViT (timm) vision tower. The vision backbone is loaded via timm_wra,unsupported,confirm_unsupported,slice_1,confirm_unsupported,FastVlm requires a timm-backed FastViT-HD vision encoder. timm dependency has no kb-nano alternative. Confirm unsupporte,"configuration_fast_vlm.py:66 — self.vision_config[""model_type""] = self.vision_config.get(""model_type"", ""timm_wrapper""); configuration_fast_vlm.py:69 — self.vision_config = CONFIG_MAPPING[""timm_wrapper",yes
fastspeech2_conformer,partial,5,unsupported,Conformer-based TTS encoder with relative positional encoding (Transformer-XL style) attention plus duration/pitch/energ,partial_a,confirm_partial,slice_2,confirm_partial,Compute decomposes from torch matmul + shift; conv1d and conv_transpose1d primitives exist. No custom CUDA needed; just ,fastspeech2_conformer/modeling_fastspeech2_conformer.py:362 — class FastSpeech2ConformerAttention; fastspeech2_conformer/modeling_fastspeech2_conformer.py:389 — def shift_relative_position_tensor; fas,yes
flaubert,partial,5,unsupported,Flaubert (XLM-derived) uses BART-style attention with separate q_lin/k_lin/v_lin and supports both encoder and cross-att,partial_b,confirm_partial,slice_2,confirm_partial,Compute decomposes from torch primitives (linear + sdpa); the gap is attention-class wrapper for separate q/k/v projecti,flaubert/modeling_flaubert.py:83 — class MultiHeadAttention; flaubert/modeling_flaubert.py:93-96 — separate q_lin/k_lin/v_lin/out_lin nn.Linear (no QKV merge); flaubert/modeling_flaubert.py:164 — clas,yes
flava,composable,5,composable,FLAVA is a triple-tower (image ViT + text BERT + multimodal BERT) plus a discrete VQ-VAE codebook. The transformer tower,,-,,-,,,no
flex_olmo,composable,5,composable,Flex-OLMo = Olmo2 attention + OLMoE MoE block. All components map to existing kb-nano L1/L2 kernels (LlamaAttention with,,-,,-,,,no
florence2,partial,5,unsupported,Florence-2 = DaViT vision backbone (channel attention + window spatial attention with depth-wise Conv2d positional encod,unsupported,downgrade_to_partial,slice_2,confirm_partial,"DaViT vision backbone uses standard ops (Linear, Conv2d, LayerNorm, attention) with bespoke channel-axis and window-axis",florence2/modeling_florence2.py:228 — class Florence2VisionChannelAttention (attention along channel dim); florence2/modeling_florence2.py:329 — class Florence2VisionWindowAttention (DaViT-style windo,yes
fnet,partial,5,partial,FNet replaces self-attention with a parameter-free 2D Fourier transform via torch.fft.fftn. The rest (BertIntermediate/O,partial_a,confirm_partial,slice_2,confirm_partial,FNet replaces self-attention with parameter-free 2D FFT; torch.fft.fftn exists but no kb-nano kernel.,"fnet/modeling_fnet.py:142 — class FNetBasicFourierTransform; fnet/modeling_fnet.py:149 — self.fourier_transform = partial(torch.fft.fftn, dim=(1, 2)); fnet/modeling_fnet.py:67 — def fftn(x): out = tor",no
focalnet,partial,5,unsupported,FocalNet uses Focal Modulation: a bespoke replacement for self-attention that combines depthwise Conv2d hierarchical con,unsupported,downgrade_to_partial,slice_2,confirm_partial,FocalNetModulation composes Conv2d/GELU/Linear/LayerNorm in pure torch; no custom CUDA. Just no kb-nano L2 wrapper.,focalnet/modeling_focalnet.py:276 — class FocalNetModulation; focalnet/modeling_focalnet.py:300 — nn.Conv2d with groups=dim (depthwise) per focal level; focalnet/modeling_focalnet.py:325-326 — for lev,yes
fsmt,partial,5,unsupported,FSMT is a BART-style encoder-decoder seq2seq model with cross-attention. Although kb-nano has whisper_attention.py (3 si,partial_b,confirm_partial,slice_2,confirm_partial,"Compute decomposes from torch matmul/softmax + linear; gap is in attention wrapper layout (separate projections, seq-fir",fsmt/modeling_fsmt.py:673 — class Attention; fsmt/modeling_fsmt.py:695-698 — separate k_proj/v_proj/q_proj/out_proj (bare nn.Linear); fsmt/modeling_fsmt.py:711 — Input shape: Time(SeqLen) x Batch x Ch,yes
funnel,partial,5,unsupported,Funnel Transformer uses pooled-query relative-position multi-head attention with per-block q/k stride pooling and a cust,unsupported,downgrade_to_partial,slice_2,confirm_partial,"Funnel's relative-position attention uses einsum on torch primitives — pure torch, decomposable, but no kb-nano kernel.","funnel/modeling_funnel.py:61 — class FunnelAttentionStructure; funnel/modeling_funnel.py:337 — class FunnelRelMultiheadAttention; funnel/modeling_funnel.py:351-355 — r_w_bias, r_r_bias, r_kernel, r_s_",yes
fuyu,partial,5,unsupported,Fuyu wraps a Persimmon (parallel-attention) language model with a single Linear vision_embed_tokens projecting raw image,unsupported,downgrade_to_partial,slice_3,promote_to_composable,Pure composition (Linear projector + AutoModel). Linear is L1/linear.py. No missing primitive.,fuyu/modeling_fuyu.py:51 — class FuyuModel(FuyuPreTrainedModel); fuyu/modeling_fuyu.py:56 — self.language_model = AutoModel.from_config(config.text_config); fuyu/modeling_fuyu.py:57 — self.vision_embe,yes
gemma,composable,5,composable,Gemma 1 = Llama with GemmaRMSNorm (1+weight) and GELU-tanh activation. Attention/MLP map to LlamaAttention/LlamaMLP; nor,,-,,-,,,no
gemma2,composable,5,composable,Gemma 2 = Gemma 1 + interleaved sliding/global attention + softcapping (logit + attention) + pre/post-feedforward norms.,composable,confirm_composable,,-,,,no
gemma3,composable,5,composable,Gemma 3 text path = Gemma2 + per-layer-type RoPE (global vs local) + QK-RMSNorm + bidirectional mask option. Vision path,,-,,-,,,no
gemma3n,unsupported,5,unsupported,"Gemma 3n adds bespoke text-stack components: AltUp (alternating updates over 4 parallel predictions), Laurel residual bl",unsupported,confirm_unsupported,slice_1,confirm_unsupported,"Multiple novel components: AltUp predict/correct, Laurel low-rank skip, full audio Conformer encoder, and timm-backed vi",modular_gemma3n.py:316 — class Gemma3nVisionConfig(TimmWrapperConfig):; modular_gemma3n.py:1294 — class Gemma3nTextLaurelBlock(nn.Module):; modular_gemma3n.py:1344 — class Gemma3nTextAltUp(nn.Module):,yes
gemma4,kb_nano_l4,5,kb_nano_l4,kb-nano has L4/gemma4.py implementing the Gemma4 text-only causal LM (the inner LM of Gemma4ForConditionalGeneration). H,l4,confirm_l4,,-,,,no
gemma4_assistant,composable,5,kb_nano_l4,Gemma 4 Assistant is a thin wrapper / variant of Gemma4 (presumably an assistant-tuned model that reuses the same archit,,-,,-,,,yes
git,composable,5,composable,GIT = BERT-style text decoder (causal masked) + CLIP-style vision encoder. Text attention matches EncoderSelfAttention p,,-,,-,,,no
glm,partial,5,composable,"GLM = Llama attention + Phi3MLP (gate_up_proj + chunk + down_proj, same SwiGLU pattern as llama_mlp) + interleaved (rota",composable,confirm_composable,slice_3,promote_to_composable,Standard Llama-family decoder; primitives all exist.,"glm/modular_glm.py:37 — class GlmMLP(Phi3MLP); glm/modular_glm.py:41 — class GlmRotaryEmbedding(LlamaRotaryEmbedding) — interleaved RoPE via rotate_half(x[...,0::2], x[...,1::2]); glm/modular_glm.py:1",yes
glm4,partial,5,composable,GLM-4 = Glm attention + Phi3MLP + extra post-self-attn / post-mlp RMSNorms (sandwich norm). All ops map to existing kb-n,,-,,-,,,yes
glm46v,partial,6,composable,Pure subclass of Glm4v: vision blocks + Glm4v text decoder; only the processor differs. All compute classes inherit Glm4,,-,slice_8,downgrade_to_partial,Inherits Glm4v which uses interleaved RoPE with partial_rotary_factor and 4 RMSNorms per decoder block (input/post-attn/,"modular_glm46v.py:94 — class Glm46VModel(Glm4vModel) (inherits compute); modeling_glm4v.py:467 — rotate_half_llm: x1 = x[..., 0::2]; x2 = x[..., 1::2] (interleaved); modeling_glm4v.py:496 — rotary_dim",yes
glm4_moe,partial,6,composable,GLM-4 MoE = Llama-style attention (Cohere bias config) + DeepSeekV3 MoE (top-k softmax router with shared expert) + RMSN,,-,slice_8,downgrade_to_partial,"Inherits CohereAttention (interleaved RoPE) + DeepSeek V3 MoE, with partial_rotary_factor=0.5 default. Cohere's interlea","modular_glm4_moe.py:123 — kwargs.setdefault('partial_rotary_factor', 0.5); modular_glm4_moe.py:131 — class Glm4MoeAttention(CohereAttention); modeling_cohere.py:188 — rotate_half: x1 = x[..., ::2]; x2",no
glm4_moe_lite,composable,6,composable,Smaller variant of glm4_moe; reuses Glm4Moe* classes plus DeepseekV3-naive MoE layer. All compute paths covered by L2/at,composable,confirm_composable,slice_8,confirm_composable,"Uses DeepseekV3Attention (MLA) directly, not Cohere's interleaved RoPE. MLA path matches kb-nano deepseek_mla_attention ",modular_glm4_moe_lite.py:131 — class Glm4MoeLiteAttention(DeepseekV3Attention); modular_glm4_moe_lite.py:135 — class Glm4MoeLiteMLP(Glm4MoeMLP); modular_glm4_moe_lite.py:151 — class Glm4MoeLiteMoE(Glm,yes
glm4v,partial,6,composable,GLM-4V = Glm4 (Llama-style) text decoder with M-RoPE for multimodal positions + Qwen2.5-VL-style vision encoder (Conv3d ,,-,,-,,,yes
glm4v_moe,partial,6,composable,Same GLM-4V vision tower; text side combines GLM-4 attention with GLM-4 MoE (DeepseekV3-style top-k + shared expert). Al,,-,,-,v12: demoted to partial — partial-rotary consistency,,yes
glm_image,partial,6,unsupported,GLM-Image adds a Chameleon-style VQVAE for image generation. The VQVAE has bespoke ResNet/Conv2d blocks and a vector qua,unsupported,downgrade_to_partial,slice_3,promote_to_composable,All flagged primitives have wrappers. grid_sample now in L1; vision pipeline composable.,glm_image/modeling_glm_image.py:254 — interpolated_embed_fp32 = F.grid_sample(...); glm_image/modular_glm_image.py:199 — class GlmImageVisionMLP(SiglipMLP); glm_image/modular_glm_image.py:330 — class ,yes
glm_moe_dsa,composable,6,composable,GLM MoE DSA = MLA attention + DeepSeek Sparse Attention indexer + GLM-4 MoE (top-k + shared expert). Maps to L2/deepseek,,-,slice_8,confirm_composable,MLA + DeepSeek Sparse Attention (DSA) indexer. kb-nano has L2/sparse_attn_indexer.py + L1/flash_mla_sparse_prefill.py + ,"modular_glm_moe_dsa.py:175 — class GlmMoeDsaIndexer (wq_b/wk Linear, k_norm LayerNorm, weights_proj, top-k scoring); modular_glm_moe_dsa.py:302 — class GlmMoeDsaAttention (MLA path identical to Deepse",no
glm_ocr,partial,6,composable,"GLM-OCR = pure subclass of Glm4v vision + text components, inheritance only (no new compute). Same as Glm4v structurally",composable,confirm_composable,slice_8,downgrade_to_partial,"Inherits Glm4v components — same partial issues as glm46v (interleaved RoPE with partial_rotary, 4-norm decoder block).","modular_glm_ocr.py:128 — class GlmOcrTextAttention(Glm4vTextAttention, nn.Module); modular_glm_ocr.py:137 — class GlmOcrTextDecoderLayer(Glm4vTextDecoderLayer); modular_glm_ocr.py:149 — class GlmOcrVi",no
glmasr,partial,6,unsupported,GLM-ASR adds an audio Conformer encoder (AudioFlamingo3 style) with depthwise Conv1d + GLU + BatchNorm1d + Shaw relative,unsupported,downgrade_to_partial,slice_3,confirm_partial,Mapping mismatch: encoder ASR attention with partial-rotary + non-SwiGLU MLP; current kb-nano leaves the partial-rotary ,glmasr/modular_glmasr.py:206 — class GlmAsrAttention(LlamaAttention) sets self.is_causal = False (encoder use); glmasr/modular_glmasr.py:251 — class GlmAsrMLP: fc1+act+fc2 (NOT SwiGLU); glmasr/modular,yes
glpn,composable,6,composable,"GLPN = SegFormer-style vision encoder for monocular depth estimation. Uses Conv2d patch embed, efficient self-attention ",,-,,-,,,no
got_ocr2,partial,6,unsupported,"GOT-OCR-2 vision tower is the SAM ViT encoder, which uses decomposed relative positional embeddings (MViT-v2 / Shaw styl",unsupported,downgrade_to_partial,slice_3,confirm_partial,SAM-style 2D rel-pos additive bias kernel not in kb-nano.,"got_ocr2/modular_got_ocr2.py:154 — class GotOcr2VisionAttention(SamVisionAttention); sam/modeling_sam.py:701 — SamVisionAttention with self.use_rel_pos and self.rel_pos_h, self.rel_pos_w (2D rel pos b",yes
gpt2,composable,6,composable,"Classic GPT-2: learned positional embeddings, multi-head attention with bias on c_attn (Conv1D-style packed QKV), GELU M",,-,,-,,,no
gpt_bigcode,composable,6,composable,GPT-BigCode = GPT-2 with multi-query attention (single K/V head shared across heads). Same compute primitives as GPT-2 (,,-,,-,,,no
gpt_neo,composable,6,composable,GPT-Neo = GPT-2-like with alternating local/global attention windows. Uses standard linear projections + softmax + GELU ,composable,confirm_composable,,-,,,no
gpt_neox,partial,6,composable,"GPT-NeoX = LlamaModel base with NeoX-style RoPE on first part of head_dim, separate q/k/v projections fused into qkv lin",,-,slice_3,promote_to_composable,"Vanilla NeoX decoder, all primitives present.",gpt_neox/modular_gpt_neox.py:32 — GPTNeoXMLP: dense_h_to_4h + GELU + dense_4h_to_h (two-Linear); gpt_neox/modular_gpt_neox.py:46 — GPTNeoXRotaryEmbedding(LlamaRotaryEmbedding); gpt_neox/modular_gpt_ne,yes
gpt_neox_japanese,composable,6,composable,GPT-NeoX Japanese = GPT-NeoX with bias-only output projection and slightly different layout; same compute primitives (Ne,,-,,-,,,no
gpt_oss,kb_nano_l4,6,kb_nano_l4,Existing standalone L4 pipeline at L4/gpt_oss.py targets openai/gpt-oss-20b: 24 layers alternating sliding/full attentio,l4,confirm_l4,,-,,,no
gptj,partial,6,composable,"GPT-J = parallel residual: attention and MLP run in parallel from same input, summed with residual. Uses GPT-J-style RoP",,-,,-,,,yes
granite,composable,6,composable,Granite = LlamaModel with attention_multiplier (replaces 1/sqrt(d_k) scaling) and residual_multiplier on residual adds. ,composable,confirm_composable,,-,,,no
granite4_vision,composable,,?,,,-,slice_7,composable,LlavaNext-derived multimodal wrapper: Granite (Llama-family with scalar multipliers) text backbone + AutoModel-loaded vi,modular_granite4_vision.py:266 — class Granite4VisionWindowQFormerDownsampler — self.qformer = AutoModel.from_config(config.qformer_config); modular_granite4_vision.py:351 — class Granite4VisionTextAt,no
granite_speech,partial,6,unsupported,Granite Speech encoder is a Conformer with depthwise Conv1d + GLU + BatchNorm1d + Shaw relative positional embeddings (e,unsupported,downgrade_to_partial,slice_3,confirm_partial,Shaw rel-pos additive bias attention + GLU activation not covered.,"granite_speech/modeling_granite_speech.py:175 — pos_attn = torch.einsum('b m h c d, c r d -> b m h c r', query_states, rel_pos_emb) * scale (Shaw rel pos); granite_speech/modeling_granite_speech.py:18",no
granite_speech_plus,partial,,?,,,-,slice_7,partial,"Conformer audio encoder relies on nn.BatchNorm1d in its conv module, and kb-nano has only batch_norm2d (no batch_norm1d)",modular_granite_speech_plus.py:125 — class GraniteSpeechPlusCTCEncoder(GraniteSpeechCTCEncoder); granite_speech/modeling_granite_speech.py:127 — class GraniteSpeechConformerAttention — Shaw rel-pos vi,no
granitemoe,composable,6,composable,"GraniteMoE = Granite (Llama + multipliers) attention + JetMoe-style ParallelExperts MoE (top-k softmax, scatter routing,",,-,,-,,,no
granitemoehybrid,composable,6,composable,GraniteMoE Hybrid alternates attention layers and Bamba-style Mamba2 layers with shared MoE + dense MLP. All ops covered,,-,,-,,,no
granitemoeshared,composable,6,composable,GraniteMoE Shared = GraniteMoE + a parallel shared MLP added to the routed-MoE output. SharedExpertMoE pattern; all kern,,-,slice_8,confirm_composable,"Standard NeoX RoPE (split-halves), standard RMSNorm, SwiGLU shared-expert + grouped-expert MoE. All map directly.",modeling_granitemoeshared.py:69 — class GraniteMoeSharedMLP (input_linear -> chunk(2) -> act(g)*u -> output_linear) — SwiGLU; modeling_granitemoeshared.py:96 — class GraniteMoeSharedRMSNorm (variance.,no
grounding_dino,partial,6,partial,Grounding DINO = DETR-style detector with a multi-scale deformable attention + bidirectional cross-attention between tex,partial_a,confirm_partial,slice_3,confirm_partial,Deformable attention variant + custom encoder cross-MHA + AutoBackbone (Swin) backbone are not all covered; CSV row is i,grounding_dino/modeling_grounding_dino.py:559 — multi-scale deformable attention F.softmax over reference points; grounding_dino/modeling_grounding_dino.py:1122 — Equivalent implementation of nn.Multi,no
groupvit,partial,6,composable,GroupViT = CLIP-text + GroupViT vision (with token-grouping cross-attention and Gumbel softmax assign). Standard linear ,composable,downgrade_to_partial,slice_3,confirm_partial,Bespoke assignment attention with gumbel-softmax routing has no kb-nano analog.,groupvit/modeling_groupvit.py:1133 — nn.BatchNorm1d(self.projection_intermediate_dim) inside text projection MLP; groupvit/modeling_groupvit.py:160 — class GroupViTAssignAttention with Gumbel softmax ,no
helium,partial,6,composable,Helium = Llama-family with HeliumRMSNorm (fp32 cast inside) + GraniteAttention base (no attention_multiplier override he,,-,slice_8,downgrade_to_partial,"Helium uses interleaved (GPT-J style) RoPE: rotate_half with x[...,0::2]/x[...,1::2]. kb-nano L2/attention.py exposes on","modeling_helium.py:183 — rotate_half: x1 = x[..., 0::2]; x2 = x[..., 1::2]; modeling_helium.py:212 — cos.repeat_interleave(2, dim=-1) (interleaved layout); modeling_helium.py:222 — class HeliumAttenti",no
hgnet_v2,composable,6,composable,HGNetV2 = ConvNet backbone for RT-DETR family. Pure Conv2d + BatchNorm2d + ReLU + MaxPool2d + LearnableAffineBlock (scal,,-,,-,,,no
hiera,composable,7,composable,"Hierarchical ViT with mask-unit windowed attention; all primitives (LayerNorm, Linear, Conv2d, max-pool, manual SDPA via",,-,,-,,,no
higgs_audio_v2,composable,,?,,,-,slice_7,composable,Llama backbone with dual-pathway decoder layers: parallel `audio_mlp + audio_input_layernorm + audio_post_attention_laye,modular_higgs_audio_v2.py:109 — class HiggsAudioV2DecoderLayer(LlamaDecoderLayer) — adds audio_mlp + audio_input/post_attention_layernorm; modular_higgs_audio_v2.py:130-141 — masked_scatter routing of,no
hubert,partial,7,partial,Hubert audio feature encoder uses BatchNorm1d on positional Conv1d and weight_norm parametrization on Conv1d; kb-nano la,partial_b,confirm_partial,slice_3,promote_to_composable,All compute primitives have wrappers; encoder is plain BartAttention.,hubert/modeling_hubert.py:58 — self.batch_norm = nn.BatchNorm1d(config.hidden_size) (positional conv embed); hubert/modeling_hubert.py:169 — self.layer_norm = nn.GroupNorm(num_groups=self.out_conv_dim,yes
hunyuan_v1_dense,composable,7,composable,Llama-family decoder with QK RMSNorm applied AFTER RoPE (rather than before like Qwen3); SwiGLU MLP. All L1 ops (rms_nor,composable,confirm_composable,,-,,,no
hunyuan_v1_moe,composable,7,composable,Llama-style attention (with QK-norm after RoPE like dense variant) + Mixtral-style MoE with shared MLP + routed experts ,,-,,-,,,no
hy_v3,composable,7,composable,Apertus-style attention (QK-RMSNorm BEFORE RoPE) + LlamaMLP + Mixtral/MiniMaxM2-style MoE with sigmoid routing + e_score,,-,slice_8,confirm_composable,Apertus-attention (qk_norm + standard NeoX RoPE) + MiniMax-style sparse MoE block + Qwen3 grouped experts + DeepseekV3-s,modular_hy_v3.py:153 — class HYV3Attention(ApertusAttention); modular_hy_v3.py:182 — class HYV3Experts(Qwen3MoeExperts); modular_hy_v3.py:186 — class HYV3MoE(MiniMaxM2SparseMoeBlock); modeling_apertus,no
ibert,unsupported,7,unsupported,"Quantized BERT with bespoke INT8/INT16/INT32 integer-only quantization scheme: QuantLinear, QuantEmbedding, QuantAct, In",partial_a,demote_to_unsupported,slice_1,confirm_unsupported,I-BERT is INT8-only with bespoke integer-arithmetic approximations of softmax/gelu/layernorm; no kb-nano integer-quant k,"modeling_ibert.py:39 — from .quant_modules import IntGELU, IntLayerNorm, IntSoftmax, QuantAct, QuantEmbedding, QuantLinear; modeling_ibert.py:181 — self.query = QuantLinear(; modeling_ibert.py:217 — s",yes
idefics,composable,7,composable,Llama-style decoder + IdeficsGatedCrossAttentionLayer (cross-attention with learnable alpha/tanh gate) + CLIP/timm-style,,-,,-,,,no
idefics2,partial,7,composable,SigLIP-style vision encoder + Perceiver resampler with cross-attn + AutoModel text decoder + Idefics2Connector (linear p,composable,confirm_composable,slice_3,confirm_partial,Two torch.nn / cross-attention dependencies (MHA pooling head + Perceiver cross-attn) not faithfully covered.,"idefics2/modeling_idefics2.py:313 — self.attention = torch.nn.MultiheadAttention(hidden_size, num_attention_heads, batch_first=True); idefics2/modeling_idefics2.py:327 — self.attention(probe, hidden_s",yes
idefics3,composable,7,composable,SigLIP-style vision encoder + Idefics3Connector (pixel shuffle + linear projection) + AutoModel text decoder. No perceiv,,-,slice_8,confirm_composable,"SigLIP-based vision (CLIP-style attention with q_proj/k_proj/v_proj/out_proj, fc1/fc2 MLP) + AutoModel-based text (typic","modeling_idefics3.py:205 — class Idefics3VisionAttention (q_proj/k_proj/v_proj/out_proj = nn.Linear, is_causal=False); modeling_idefics3.py:266 — class Idefics3VisionMLP (fc1+ACT+fc2; copied from Sigl",no
ijepa,composable,7,composable,"ViT clone with separate query/key/value Linear projections, GELU MLP (fc1+act+fc2), and LayerNorm. Maps to L2/encoder_at",,-,,-,,,no
imagegpt,composable,7,composable,"GPT-2 style causal LM with custom T5-like LayerNorm (variance-only, no centering, no bias) + Conv1D-as-Linear + fc1+act+",,-,,-,,,no
informer,partial,7,unsupported,"Informer's defining contribution is InformerProbSparseAttention: random key sampling, sparsity measurement (max - mean) ",partial_b,confirm_partial,slice_3,confirm_partial,ProbSparse attention algorithm has no kb-nano kernel; cross-attention (BartAttention) also missing.,informer/modular_informer.py:101 — class InformerProbSparseAttention — sampling-factor sparse attention with K/Q top-u selection; informer/modeling_informer.py:618 — self.norm = nn.BatchNorm1d(c_in); ,yes
instructblip,composable,7,composable,"BLIP CLIP-style vision encoder (fused QKV with optional q/v bias only, projection, fc1+gelu+fc2 MLP) + Q-Former (BERT-li",composable,confirm_composable,,-,,,no
instructblipvideo,composable,7,composable,Same compute pattern as instructblip — BLIP vision encoder + Q-Former + language model. The 'Video' variant adds frame-l,,-,,-,,,no
internvl,composable,7,composable,BEiT-style vision encoder (with optional QK-RMSNorm using full-dim norm) inheriting from JanusVisionAttention + CLIPMLP ,,-,,-,,,no
jais2,composable,,?,,,-,slice_7,composable,Llama-family + LayerNorm (instead of RMSNorm) + 2-layer up/down MLP with squared-relu activation (Nemotron-style) + bias,"modular_jais2.py:46 — hidden_act: str = 'relu2'; modular_jais2.py:51-52 — attention_bias: True; mlp_bias: True; modular_jais2.py:64-65 — input/post LayerNorms (nn.LayerNorm, not RMSNorm); nemotron/mod",no
jamba,kb_nano_l4,7,kb_nano_l4,Jamba (AI21Labs hybrid: Transformer attention + Mamba SSM + MoE) is a kb-nano L4 pipeline.,l4,confirm_l4,,-,,,no
janus,composable,7,composable,Vision encoder (CLIP-style with QK-norm) + Llama-style language decoder + VQ-VAE encoder/decoder built from Conv2d + Gro,,-,,-,,,no
jetmoe,partial,7,partial,"JetMoeMoE (SwiGLU MoE with index_add scatter) is composable, but JetMoeMoA (Mixture-of-Attention with routed per-expert ",partial_a,confirm_partial,slice_3,confirm_partial,Mixture-of-Attention (MoA) has no kb-nano analog.,"jetmoe/modular_jetmoe.py:212 — class JetMoeMoA (mixture of attention) — per-expert q/o projections, shared k/v; jetmoe/modular_jetmoe.py:288 — class JetMoeAttention uses MoA for both q-proj and o-proj",no
jina_embeddings_v3,composable,,?,,,-,slice_7,composable,"XLM-Roberta-style bidirectional encoder + RoPE on Q/K + LayerNorm + GELU MLP + bias. All primitives present (rotary_emb,","modular_jina_embeddings_v3.py:142 — class JinaEmbeddingsV3Attention(LlamaAttention) — bias=True, is_causal=False; modular_jina_embeddings_v3.py:171 — apply_rotary_pos_emb on Q/K",no
kosmos2,composable,7,composable,"CLIP-style vision encoder (separate q/k/v with bias, fc1+gelu+fc2 MLP) + BART-style text decoder (separate q/k/v/out_pro",composable,confirm_composable,,-,,,no
kosmos2_5,composable,7,composable,Kosmos2.5 is a Pix2Struct-derived OCR model. Vision uses Pix2Struct-style Linear patch projection (no Conv) + row/col em,,-,slice_8,confirm_composable,Pix2Struct-style vision (sinusoidal/learned 2D positions + T5-RMSNorm + GELU-gated MLP) + decoder LM with sinusoidal pos,"modeling_kosmos2_5.py:388 — class Kosmos2_5LayerNorm (T5-style RMSNorm: variance.pow(2).mean, no centering); modeling_kosmos2_5.py:447 — class Kosmos2_5VisionMlp (wi_0/wi_1/wo with hidden_gelu * hidde",no
kyutai_speech_to_text,partial,7,partial,Inherits Llama text decoder (composable) but wraps a Mimi audio codec model. The Mimi codec uses streaming Conv1d with w,partial_b,confirm_partial,slice_8,downgrade_to_unsupported,Depends on Mimi codec model (codec_model = AutoModel.from_config(config.codec_config)) which uses weight_norm parametriz,modular_kyutai_speech_to_text.py:266 — self.codec_model = AutoModel.from_config(config.codec_config); modeling_mimi.py:262-265 — weight_norm(self.conv) (parametrize.weight_norm or nn.utils.weight_norm,yes
laguna,partial,,?,,,-,slice_7,composable,Per-layer head-count Llama-family attention with QK norm + softplus per-head gate (g_proj) + partial RoPE; sigmoid+corre [v12: demoted to partial — partial-rotary consistency],modular_laguna.py:280 — class LagunaAttention(AfmoeAttention) — softplus per-head gate g_proj; modular_laguna.py:339 — gate = F.softplus(self.g_proj(hidden_states).float()); modular_laguna.py:228 — cl,no
